Time spent on page,Average mouse speed,Average time spent on fields,Average interval between fields,Average mouse angle change,Average variance of x-axis clicks,Jitter count,Tremors count,Backspace count,Repeated key count,isHuman
25.71,2.24,26.84,58.99,62.53,16914.0,1,117,3,1.0,TRUE
62.24,4.22,41.95,30.79,90.77,9403.0,1,127,2,5.0,TRUE
68.37,4.74,67.22,54.05,54.92,7369.0,0,175,1,3.0,TRUE
53.55,11.34,11.23,30.64,79.41,77814.0,1,120,3,5.0,TRUE
10.36,3.7,50.22,55.77,79.86,43521.0,0,147,1,5.0,TRUE
28.01,16.02,66.85,43.66,76.83,57840.0,0,81,3,4.0,TRUE
55.42,9.29,60.48,59.28,98.58,19340.0,1,143,2,5.0,TRUE
40.8,13.8,38.14,44.26,75.46,79555.0,1,188,1,5.0,TRUE
44.65,2.38,12.85,32.71,67.52,16197.0,1,186,3,,TRUE
24.73,4.0,69.82,46.0,89.09,96476.0,1,150,2,4.0,TRUE
27.28,16.83,49.05,37.39,89.17,39399.0,1,194,0,3.0,TRUE
35.86,5.15,35.9,48.6,93.18,72061.0,1,152,1,3.0,TRUE
15.88,3.64,43.93,39.04,56.28,18018.0,1,160,2,2.0,TRUE
22.72,11.37,44.99,38.01,97.94,12162.0,1,146,0,3.0,TRUE
64.16,10.25,11.96,36.08,86.96,74849.0,1,55,2,,TRUE
49.57,3.65,45.85,62.34,86.45,10304.0,1,63,0,5.0,TRUE
44.16,12.53,34.0,11.58,66.47,23409.0,0,161,3,3.0,TRUE
60.67,14.12,46.58,24.14,88.73,36743.0,1,139,0,5.0,TRUE
10.34,9.43,26.61,49.7,94.58,41733.0,1,91,3,3.0,TRUE
16.98,7.46,28.45,60.73,53.09,92382.0,1,105,3,5.0,TRUE
39.56,7.68,24.44,66.73,67.81,19063.0,1,91,2,3.0,TRUE
32.91,8.32,22.2,60.07,99.44,97256.0,1,94,0,,TRUE
34.88,13.95,34.29,33.05,50.85,58629.0,1,77,1,4.0,TRUE
44.63,16.68,51.36,50.5,71.37,65825.0,1,53,1,2.0,TRUE
26.33,15.92,62.49,28.09,58.22,67319.0,1,95,3,3.0,TRUE
41.59,14.43,16.54,66.78,92.4,7088.0,1,144,3,2.0,TRUE
35.46,9.82,44.17,14.69,82.76,55882.0,0,143,0,3.0,TRUE
47.59,13.95,64.58,61.3,59.72,34336.0,1,113,3,3.0,TRUE
66.1,6.34,67.49,12.09,73.49,5163.0,0,70,2,5.0,TRUE
40.09,3.66,46.56,16.16,84.24,44402.0,1,77,3,4.0,TRUE
42.25,15.67,30.65,27.74,82.81,24620.0,1,65,0,1.0,TRUE
39.93,17.09,46.32,16.39,93.51,43243.0,0,101,0,4.0,TRUE
28.77,8.26,48.45,23.4,84.99,46056.0,0,152,3,,TRUE
10.21,13.12,61.79,51.45,53.88,50367.0,0,95,3,,TRUE
17.57,12.13,44.98,15.3,71.2,42876.0,1,80,0,5.0,TRUE
50.85,7.58,34.2,40.44,72.29,12352.0,1,67,0,,TRUE
26.2,10.46,22.17,41.03,63.62,30110.0,1,157,3,3.0,TRUE
57.96,8.42,61.54,37.1,86.4,60596.0,1,152,2,2.0,TRUE
16.8,8.67,57.54,67.65,70.21,32477.0,1,169,3,,TRUE
34.97,11.75,49.9,14.98,67.04,63345.0,0,74,2,5.0,TRUE
48.05,14.34,56.35,43.35,51.0,12705.0,1,84,1,2.0,TRUE
52.89,5.11,24.64,43.13,89.97,31012.0,1,188,3,1.0,TRUE
64.36,12.86,67.35,44.57,94.74,49302.0,1,86,1,4.0,TRUE
40.13,9.76,60.93,69.37,98.9,17725.0,0,194,2,,TRUE
45.32,11.5,61.13,63.51,66.02,64686.0,1,110,2,1.0,TRUE
31.66,7.69,64.07,56.58,72.01,63078.0,0,186,0,2.0,TRUE
15.76,7.95,45.33,16.32,64.08,11701.0,1,95,2,1.0,TRUE
41.55,12.07,36.34,58.01,69.57,58003.0,0,133,0,3.0,TRUE
69.55,13.64,69.22,14.54,60.71,92539.0,1,154,2,5.0,TRUE
26.29,3.28,56.84,68.99,85.25,24670.0,1,70,1,1.0,TRUE
59.32,4.34,68.87,32.08,84.52,78868.0,1,161,0,4.0,TRUE
42.36,4.49,34.84,59.41,53.02,62229.0,1,132,2,5.0,TRUE
57.41,9.14,48.71,33.44,78.74,12429.0,1,91,2,2.0,TRUE
46.67,16.24,43.54,44.46,74.28,84355.0,1,150,3,5.0,TRUE
43.86,9.06,18.09,47.1,64.87,26058.0,1,128,1,2.0,TRUE
20.35,8.92,58.79,44.37,91.87,57535.0,1,119,3,5.0,TRUE
12.57,14.64,19.44,14.12,71.47,32745.0,1,69,1,4.0,TRUE
44.67,17.02,39.2,41.23,89.56,82277.0,1,194,0,3.0,TRUE
19.75,9.19,55.23,14.78,76.25,38169.0,1,115,0,3.0,TRUE
38.42,7.77,66.54,10.64,76.88,16689.0,1,57,2,,TRUE
26.23,9.41,56.56,69.56,92.05,87362.0,0,92,1,,TRUE
11.07,3.64,16.95,20.27,74.38,93558.0,1,170,2,1.0,TRUE
62.16,15.64,42.55,13.83,60.28,12413.0,0,167,0,1.0,TRUE
65.95,5.55,39.61,16.19,66.57,52257.0,1,115,0,2.0,TRUE
47.66,2.04,38.68,33.32,88.66,17379.0,0,69,0,4.0,TRUE
20.04,14.74,62.52,67.6,84.7,87527.0,1,96,1,2.0,TRUE
34.28,10.28,45.15,11.57,93.77,43119.0,1,124,1,3.0,TRUE
27.01,7.58,68.01,42.0,78.59,40055.0,0,98,2,,TRUE
10.14,11.17,43.05,44.07,60.96,32591.0,1,157,1,1.0,TRUE
60.46,10.71,45.12,35.79,62.94,49454.0,0,149,1,4.0,TRUE
41.91,12.53,36.41,13.78,62.8,8726.0,1,179,3,5.0,TRUE
26.24,6.68,18.23,17.95,68.79,39815.0,1,106,2,,TRUE
30.41,15.7,10.58,67.38,91.13,59784.0,1,61,2,,TRUE
66.74,14.97,35.34,52.87,88.62,12361.0,1,155,1,5.0,TRUE
43.32,16.2,18.69,45.27,66.73,26384.0,0,138,3,3.0,TRUE
52.72,14.53,18.48,49.58,74.69,62935.0,1,88,1,2.0,TRUE
27.3,5.06,59.09,65.38,82.31,42821.0,1,135,2,,TRUE
45.97,7.33,66.73,62.77,93.67,61130.0,0,150,1,4.0,TRUE
14.67,13.31,17.53,68.26,63.79,15524.0,1,162,3,1.0,TRUE
19.34,5.87,20.82,40.23,86.54,80367.0,1,51,0,1.0,TRUE
40.04,13.19,58.01,59.04,83.64,33018.0,0,99,2,2.0,TRUE
62.49,6.13,66.44,56.14,97.95,82893.0,1,132,0,5.0,TRUE
28.42,3.43,48.94,59.83,93.78,50323.0,0,52,2,4.0,TRUE
15.68,6.01,41.32,15.32,64.66,5527.0,1,103,3,1.0,TRUE
